"","word","sentiment","n"
"276","promises","positive",8
"277","reasonable","positive",8
"278","recommend","positive",8
"279","rough","negative",8
"280","shocked","negative",8
"281","sincerely","positive",8
"282","split","negative",8
"283","stressful","negative",8
"284","stupid","negative",8
"285","atrocious","negative",7
"286","benefits","positive",7
"287","brutal","negative",7
"288","bug","negative",7
"289","bump","negative",7
"290","chaos","negative",7
"291","confusion","negative",7
"292","courteous","positive",7
"293","damage","negative",7
"294","decent","positive",7
"295","desperately","negative",7
"296","die","negative",7
"297","disappoint","negative",7
"298","disregard","negative",7
"299","dying","negative",7
"300","enjoyed","positive",7
"301","exceptional","positive",7
"302","failing","negative",7
"303","fresh","positive",7
"304","gross","negative",7
"305","hassle","negative",7
"306","idiots","negative",7
"307","inexcusable","negative",7
"308","limited","negative",7
"309","loses","negative",7
"310","loss","negative",7
"311","loving","positive",7
"312","mistakes","negative",7
"313","painful","negative",7
"314","prefer","positive",7
"315","ripped","negative",7
"316","sarcasm","negative",7
"317","stinks","negative",7
"318","stolen","negative",7
"319","success","positive",7
"320","terribly","negative",7
"321","troubles","negative",7
"322","understandable","positive",7
"323","unfriendly","negative",7
"324","useful","positive",7
"325","weird","negative",7
"326","abysmal","negative",6
"327","blah","negative",6
"328","brilliant","positive",6
"329","commitment","positive",6
"330","crash","negative",6
"331","crashed","negative",6
"332","cry","negative",6
"333","dissatisfied","negative",6
"334","expire","negative",6
"335","fat","negative",6
"336","fav","positive",6
"337","fell","negative",6
"338","fortunately","positive",6
"339","goodwill","positive",6
"340","happily","positive",6
"341","heck","negative",6
"342","hilarious","positive",6
"343","humor","positive",6
"344","hurt","negative",6
"345","impressive","positive",6
"346","insult","negative",6
"347","irritated","negative",6
"348","lazy","negative",6
"349","lying","negative",6
"350","nervous","negative",6
"351","nicely","positive",6
"352","overweight","negative",6
"353","pleased","positive",6
"354","pleasure","positive",6
"355","progress","positive",6
"356","proper","positive",6
"357","refuses","negative",6
"358","reliable","positive",6
"359","scam","negative",6
"360","significant","positive",6
"361","smile","positive",6
"362","stellar","positive",6
"363","stole","negative",6
"364","suicide","negative",6
"365","thankful","positive",6
"366","trapped","negative",6
"367","unexpected","negative",6
"368","unfortunate","negative",6
"369","unnecessary","negative",6
"370","unreliable","negative",6
"371","warning","negative",6
"372","weak","negative",6
"373","worthless","negative",6
"374","anxious","negative",5
"375","appalled","negative",5
"376","appropriate","positive",5
"377","assult","negative",5
"378","bankrupt","negative",5
"379","beauty","positive",5
"380","benefit","positive",5
"381","bereavement","negative",5
"382","bothered","negative",5
"383","breaking","negative",5
"384","bumping","negative",5
"385","classy","positive",5
"386","cleared","positive",5
"387","conflicting","negative",5
"388","cranky","negative",5
"389","crashing","negative",5
"390","crisis","negative",5
"391","cute","positive",5
"392","died","negative",5
"393","disgraceful","negative",5
