"","word","sentiment","n"
"1157","mystery","negative",1
"1158","narrower","negative",1
"1159","needlessly","negative",1
"1160","negligent","negative",1
"1161","nightmarish","negative",1
"1162","noise","negative",1
"1163","obsolete","negative",1
"1164","offensively","negative",1
"1165","optimistic","positive",1
"1166","orphan","negative",1
"1167","outbreak","negative",1
"1168","outrage","negative",1
"1169","outraged","negative",1
"1170","overkill","negative",1
"1171","overloaded","negative",1
"1172","overzealous","negative",1
"1173","pales","negative",1
"1174","pamper","positive",1
"1175","panicked","negative",1
"1176","paradise","positive",1
"1177","paranoid","negative",1
"1178","parody","negative",1
"1179","peculiar","negative",1
"1180","peeled","negative",1
"1181","peeved","negative",1
"1182","petty","negative",1
"1183","pigs","negative",1
"1184","polite","positive",1
"1185","poorest","negative",1
"1186","portable","positive",1
"1187","pride","positive",1
"1188","prison","negative",1
"1189","privilege","positive",1
"1190","problematic","negative",1
"1191","proficient","positive",1
"1192","protest","negative",1
"1193","qualified","positive",1
"1194","racist","negative",1
"1195","ranting","negative",1
"1196","reachable","positive",1
"1197","readily","positive",1
"1198","reasonably","positive",1
"1199","reckless","negative",1
"1200","reclaim","positive",1
"1201","recommendation","positive",1
"1202","recover","positive",1
"1203","redeeming","positive",1
"1204","reform","positive",1
"1205","refresh","positive",1
"1206","regard","positive",1
"1207","rejected","negative",1
"1208","rejecting","negative",1
"1209","reluctant","negative",1
"1210","renewed","positive",1
"1211","reprehensible","negative",1
"1212","reproach","negative",1
"1213","resent","negative",1
"1214","respectful","positive",1
"1215","restless","negative",1
"1216","restored","positive",1
"1217","restriction","negative",1
"1218","restructured","positive",1
"1219","retards","negative",1
"1220","revive","positive",1
"1221","rich","positive",1
"1222","ridicules","negative",1
"1223","ridiculously","negative",1
"1224","rockstars","positive",1
"1225","rumor","negative",1
"1226","sap","negative",1
"1227","sarcastic","negative",1
"1228","sarcastically","negative",1
"1229","satisfactorily","positive",1
"1230","satisfy","positive",1
"1231","scandal","negative",1
"1232","scare","negative",1
"1233","scary","negative",1
"1234","scolding","negative",1
"1235","scramble","negative",1
"1236","scream","negative",1
"1237","shady","negative",1
"1238","shaky","negative",1
"1239","sham","negative",1
"1240","shambles","negative",1
"1241","sharp","positive",1
"1242","shiver","negative",1
"1243","simplify","positive",1
"1244","sink","negative",1
"1245","skillful","positive",1
"1246","slime","negative",1
"1247","slog","negative",1
"1248","sloppy","negative",1
"1249","smarter","positive",1
"1250","smell","negative",1
"1251","smelled","negative",1
"1252","smelly","negative",1
"1253","smiles","positive",1
"1254","smitten","positive",1
"1255","snag","negative",1
"1256","snagging","negative",1
"1257","snobby","negative",1
"1258","sour","negative",1
"1259","spade","negative",1
"1260","spectacular","positive",1
"1261","spirited","positive",1
"1262","splitting","negative",1
"1263","spoil","negative",1
"1264","spook","negative",1
"1265","squeaks","negative",1
"1266","stable","positive",1
"1267","stagnant","negative",1
"1268","stains","negative",1
"1269","startling","negative",1
"1270","static","negative",1
"1271","steep","negative",1
"1272","stingy","negative",1
"1273","stink","negative",1
"1274","straighten","positive",1
"1275","strict","negative",1
"1276","struggle","negative",1
"1277","struggling","negative",1
"1278","stubborn","negative",1
"1279","stubbornly","negative",1
"1280","stuffy","negative",1
"1281","stupidity","negative",1
"1282","stupidly","negative",1
"1283","substandard","negative",1
"1284","successful","positive",1
"1285","suffer","negative",1
"1286","suffered","negative",1
"1287","sufficiently","positive",1
"1288","superb","positive",1
"1289","supported","positive",1
"1290","supporter","positive",1
"1291","surreal","positive",1
"1292","swanky","positive",1
"1293","sweaty","negative",1
"1294","swift","positive",1
"1295","swindle","negative",1
"1296","swipe","negative",1
"1297","tacky","negative",1
"1298","talent","positive",1
"1299","talents","positive",1
"1300","tank","negative",1
"1301","tanked","negative",1
"1302","tedious","negative",1
"1303","temper","negative",1
"1304","tempting","positive",1
"1305","tense","negative",1
"1306","terror","negative",1
"1307","thinner","positive",1
"1308","thoughtful","positive",1
"1309","threat","negative",1
"1310","tolerable","positive",1
"1311","toll","negative",1
"1312","tops","positive",1
"1313","tortured","negative",1
"1314","transparent","positive",1
"1315","trap","negative",1
"1316","trashy","negative",1
"1317","treacherous","negative",1
"1318","treasure","positive",1
"1319","tremendously","positive",1
"1320","trivialize","negative",1
"1321","truthful","positive",1
"1322","twist","negative",1
"1323","unclear","negative",1
"1324","uncompromising","negative",1
"1325","undefined","negative",1
"1326","undermines","negative",1
"1327","undetermined","negative",1
"1328","undignified","negative",1
"1329","undone","negative",1
"1330","undue","negative",1
"1331","uneventful","negative",1
"1332","unexplained","negative",1
"1333","unfamiliar","negative",1
"1334","uninformed","negative",1
"1335","unlucky","negative",1
"1336","unnerving","negative",1
"1337","unnoticed","negative",1
"1338","unpredictable","negative",1
"1339","unprepared","negative",1
"1340","unproductive","negative",1
"1341","unreachable","negative",1
"1342","unrealistic","negative",1
"1343","unreasonable","negative",1
"1344","unresolved","negative",1
"1345","unsettling","negative",1
"1346","unsuccessful","negative",1
"1347","untrue","negative",1
"1348","untruthful","negative",1
"1349","unwise","negative",1
"1350","uphold","positive",1
"1351","usable","positive",1
"1352","useable","positive",1
"1353","vague","negative",1
"1354","vanity","negative",1
"1355","vent","negative",1
"1356","vibrant","positive",1
"1357","virus","negative",1
"1358","vomited","negative",1
"1359","vulnerable","negative",1
"1360","wack","negative",1
"1361","whining","negative",1
"1362","whiny","negative",1
"1363","wise","positive",1
"1364","witty","positive",1
"1365","woeful","negative",1
"1366","wonderfully","positive",1
"1367","worn","negative",1
"1368","worrisome","negative",1
"1369","worrying","negative",1
"1370","wrath","negative",1
"1371","wrestle","negative",1
"1372","wretched","negative",1
"1373","zombie","negative",1
